epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,77.5203,1.1705,1.2922,1.79502,0.64229,0.95833,0.78835,0.55512,1.11764,1.09965,1.9022,0.009109,0.009109,0.009109
92,78.1953,1.13635,1.2615,1.79322,0.75467,0.88629,0.91509,0.64905,1.02711,1.13331,1.83743,0.0090991,0.0090991,0.0090991
93,78.854,1.15136,1.27525,1.85883,0.7546,0.88934,0.8274,0.56682,1.11557,0.94491,1.86647,0.0090892,0.0090892,0.0090892
94,79.5381,1.10467,1.26703,1.75937,0.62962,0.96826,0.84088,0.57087,1.14276,0.98284,1.94628,0.0090793,0.0090793,0.0090793
95,80.1879,1.2423,1.29673,1.85467,0.8073,0.78674,0.9001,0.6183,1.14212,0.94674,1.98185,0.0090694,0.0090694,0.0090694
96,80.8573,1.22216,1.30754,1.88015,0.76022,0.76553,0.85302,0.60213,1.15212,1.15992,1.95668,0.0090595,0.0090595,0.0090595
97,81.5203,1.21873,1.26631,1.83074,0.67651,0.89583,0.86469,0.62847,1.06715,1.0596,1.85956,0.0090496,0.0090496,0.0090496
98,82.3306,1.17903,1.25609,1.76489,0.62313,0.88503,0.77876,0.56456,1.04525,1.56694,1.83206,0.0090397,0.0090397,0.0090397
99,82.9957,1.19986,1.24318,1.84397,0.66896,0.90376,0.76528,0.55803,1.07622,1.42251,1.81132,0.0090298,0.0090298,0.0090298
100,83.6811,1.21096,1.25701,1.84188,0.78416,0.94192,0.90898,0.55831,1.40326,0.98413,2.5279,0.0090199,0.0090199,0.0090199
101,84.3544,1.15547,1.27087,1.82556,0.81573,0.90912,0.80954,0.56471,1.2207,1.01727,2.12357,0.00901,0.00901,0.00901
102,85.0211,1.11244,1.2534,1.79139,0.46658,0.62563,0.61486,0.45065,1.13821,2.99923,1.96029,0.0090001,0.0090001,0.0090001
103,85.6898,1.21139,1.27303,1.83475,0.52244,0.71627,0.68671,0.52719,1.0256,2.47117,1.79544,0.0089902,0.0089902,0.0089902
104,86.4016,1.11645,1.22479,1.73026,0.65012,0.97998,0.77279,0.56494,1.05956,0.99453,1.82936,0.0089803,0.0089803,0.0089803
105,87.0885,1.17918,1.18048,1.84133,0.72697,0.87742,0.83736,0.59597,1.13653,0.90152,1.92658,0.0089704,0.0089704,0.0089704
106,87.8213,1.13739,1.27088,1.74358,0.6089,0.8534,0.74914,0.55373,1.024,1.13058,1.8046,0.0089605,0.0089605,0.0089605
107,88.5152,1.14114,1.21625,1.76425,0.53901,0.91526,0.71489,0.5104,1.06485,1.48328,1.83671,0.0089506,0.0089506,0.0089506
108,89.2143,1.14925,1.23848,1.77491,0.72478,0.93355,0.87007,0.62293,1.09756,0.93535,1.90287,0.0089407,0.0089407,0.0089407
109,90.0372,1.08458,1.23405,1.74583,0.62919,0.9375,0.80566,0.56521,1.12035,0.94477,1.8411,0.0089308,0.0089308,0.0089308
110,90.7025,1.18681,1.20429,1.82846,0.66094,0.99114,0.78021,0.56295,0.98469,0.91212,1.73825,0.0089209,0.0089209,0.0089209
111,91.357,1.11667,1.21212,1.75089,0.68998,0.95126,0.82241,0.59731,1.0181,0.86533,1.75707,0.008911,0.008911,0.008911
112,92.0498,1.09265,1.15004,1.75438,0.61829,0.93669,0.74708,0.53524,1.06227,0.97479,1.90459,0.0089011,0.0089011,0.0089011
113,92.7064,1.06258,1.12851,1.69288,0.6061,0.97222,0.77469,0.55765,1.0616,1.01556,1.86885,0.0088912,0.0088912,0.0088912
114,93.4008,1.16294,1.13717,1.77504,0.68741,0.91667,0.85586,0.64572,0.95676,0.91044,1.69421,0.0088813,0.0088813,0.0088813
115,94.0605,1.15439,1.2057,1.78438,0.64661,0.97222,0.78614,0.59945,0.95193,1.03049,1.66706,0.0088714,0.0088714,0.0088714
116,94.7582,1.14131,1.22622,1.80453,0.67297,0.94107,0.76355,0.57152,0.99202,0.90724,1.70736,0.0088615,0.0088615,0.0088615
117,95.4991,1.08178,1.17093,1.71734,0.64503,0.94822,0.69682,0.48605,1.1162,1.14686,1.87115,0.0088516,0.0088516,0.0088516
118,96.2491,1.11313,1.17646,1.77749,0.6074,0.94539,0.81277,0.58373,1.04988,1.4269,1.81359,0.0088417,0.0088417,0.0088417
119,96.9122,1.15977,1.18019,1.80821,0.79576,0.91081,0.86478,0.62868,0.99125,0.83845,1.73022,0.0088318,0.0088318,0.0088318
120,97.7919,1.06573,1.1247,1.68682,0.84203,0.94444,0.942,0.66426,1.07403,0.96837,1.81461,0.0088219,0.0088219,0.0088219
121,98.4944,1.08885,1.12343,1.70882,0.55439,0.63209,0.57497,0.42644,0.97013,2.03089,1.72435,0.008812,0.008812,0.008812
122,99.2413,1.12409,1.13414,1.72893,0.6736,1,0.85697,0.61129,1.02703,0.82142,1.82389,0.0088021,0.0088021,0.0088021
123,99.9466,1.07817,1.13361,1.70254,0.75811,0.95377,0.8333,0.60598,1.00545,0.86268,1.7715,0.0087922,0.0087922,0.0087922
124,100.685,1.02789,1.12575,1.6553,0.92733,0.8439,0.9543,0.71235,0.98811,0.7708,1.78096,0.0087823,0.0087823,0.0087823
125,101.418,1.06324,1.09113,1.6969,0.73756,0.97917,0.95212,0.71789,0.99173,0.80482,1.76509,0.0087724,0.0087724,0.0087724
